vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,section,page,textbook
きっかけ,,ice breaker,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
中心,ちゅうしん,center,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
立場,たちば,position,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
試す,ためす,try (out),,,,,1,知って楽しむ,1,できる日本語 中級 本冊
あなた,,You,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
旅・する,たび・する,to travel,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
お供,おとも,companion,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
動物,どうぶつ,animal,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
羊,ひつじ,sheep,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
馬,うま,horse,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
ライオン,,lion,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
牛,うし,cow,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
協力・する,きょうりょく・する,to cooperate,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
さて,,"so, well",,,,,1,知って楽しむ,1,できる日本語 中級 本冊
順に,じゅんに,"in order, in turn",,,,,1,知って楽しむ,1,できる日本語 中級 本冊
手放す,てばなす,let go,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
なぜ,,why,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
付ける,つける,to give (a number),,番号を付ける,to give a number,,1,知って楽しむ,1,できる日本語 中級 本冊
それぞれ,,each,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
象徴・する,しょうちょう・する,to represent,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
財産,ざいさん,possessions,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
やわらか（な）,,soft,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
そば,,beside,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
ほっと,,"(to feel) relief, comfort",,,,,1,知って楽しむ,1,できる日本語 中級 本冊
移動・する,いどう・する,"to move, to travel",,,,,1,知って楽しむ,1,できる日本語 中級 本冊
手段,しゅだん,means,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
表す,あらわす,to represent,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
つまり,,in other words,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
困難（な）,こんなん,adversity,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
守る,まもる,to protect,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
たっぷり（な）,,full of,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
与える,あたえる,to give,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
順番,じゅんばん,order,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
人生,じんせい,life,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
出合う,であう,to encounter,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
自然（な）,しぜん,naturally,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
昔話,むかしばなし,folk tale,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
キジ,,pheasant,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
連れる,つれる,to take someone (with),,,,,1,知って楽しむ,1,できる日本語 中級 本冊
鬼退治,おにたいじ,ogre hunting,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
重大（な）,じゅうだい,"major, important",,,,,1,知って楽しむ,1,できる日本語 中級 本冊
種明かし,たねあかし,answer,,,,,1,知って楽しむ,1,できる日本語 中級 本冊
掲示板,けいじばん,noticeboard,,,,,1,1,1,できる日本語 中級 本冊
交流・する,こうりゅう・する,"to interact, to exchange",,,,,1,1,1,できる日本語 中級 本冊
協会,きょうかい,association,,,,,1,1,1,できる日本語 中級 本冊
ウェルカムパーティー,,welcome party,,,,,1,1,1,できる日本語 中級 本冊
広場,ひろば,"space, place",,,,,1,1,1,できる日本語 中級 本冊
日時,にちじ,date and time,,,,,1,1,1,できる日本語 中級 本冊
人数,にんずう,no. of people,,,,,1,1,1,できる日本語 中級 本冊
先着,せんちゃく,first,,,,,1,1,1,できる日本語 中級 本冊
～名,めい,people,,50名,50 people,,1,1,1,できる日本語 中級 本冊
または,,or,,,,,1,1,1,できる日本語 中級 本冊
当日,とうじつ,on the day,,,,,1,1,1,できる日本語 中級 本冊
支払う,しはらう,to pay,,,,,1,1,1,できる日本語 中級 本冊
雨天,うてん,rain,,,,,1,1,1,できる日本語 中級 本冊
就職活動・する,しゅうしょくかつどう・する,to job-hunt,,,,,1,1,1,できる日本語 中級 本冊
重要（な）,じゅうよう,important,,,,,1,1,1,できる日本語 中級 本冊
評価・する,ひょうか・する,to appreciate,,,,,1,1,1,できる日本語 中級 本冊
年々,ねんねん,year after year,,,,,1,1,1,できる日本語 中級 本冊
高まる,たかまる,to increase,,,,,1,1,1,できる日本語 中級 本冊
金額,きんがく,amount (of money),,,,,1,1,1,できる日本語 中級 本冊
領収書,りょうしゅうしょ,receipt,,,,,1,1,1,できる日本語 中級 本冊
サイン・する,,to sign,,,,,1,1,1,できる日本語 中級 本冊
完成・する,かんせい・する,to complete,,,,,1,1,1,できる日本語 中級 本冊
～品,ひん,item,,完成品,completed item,,1,1,1,できる日本語 中級 本冊
工事・する,こうじ・する,to construct,,,,,1,1,1,できる日本語 中級 本冊
立てる,たてる,to make (noise),,音を立てる,to make noise,,1,1,1,できる日本語 中級 本冊
お知らせ,おしらせ,notice,,,,,1,2,2,できる日本語 中級 本冊
以前,いぜん,before,,,,,1,2,2,できる日本語 中級 本冊
できる,,to make (friends),,友達ができる,to make friends,,1,2,2,できる日本語 中級 本冊
ラッキー（な）,,lucky,,,,,1,2,2,できる日本語 中級 本冊
定員,ていいん,limit to the number of participants,,,,,1,2,2,できる日本語 中級 本冊
確か,たしか,if I'm not mistaken,,,,,1,2,2,できる日本語 中級 本冊
プリン,,(custard) pudding,,,,,1,2,2,できる日本語 中級 本冊
気分,きぶん,mood,,,,,1,2,2,できる日本語 中級 本冊
すっきり,,clear,,,,,1,2,2,できる日本語 中級 本冊
天気予報,てんきよほう,weather forecast,,,,,1,3,2,できる日本語 中級 本冊
キャスター,,newscaster,,,,,1,3,2,できる日本語 中級 本冊
気象予報士,きしょうよほうし,weather forecaster,,,,,1,3,2,できる日本語 中級 本冊
青空,あおぞら,clear sky,,,,,1,3,2,できる日本語 中級 本冊
