vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,section,page,textbook
方,かた,person (respectful language referring to someone else),,,,,1,1,1,できる日本語 初中級 本冊
者,もの,person (humble language referring to oneself),,,,,1,1,1,できる日本語 初中級 本冊
チラシ,,"leaflet, flyer",,,,,1,1,1,できる日本語 初中級 本冊
ホームページ,,website,,,,,1,1,1,できる日本語 初中級 本冊
学生証,がくせいしょう,student ID,,,,,1,1,1,できる日本語 初中級 本冊
資格外活動許可書,しかくがいかつどうきょかしょ,permission for engaging in activity outside visa status,,,,,1,1,1,できる日本語 初中級 本冊
面接,めんせつ,interview,,,,,1,1,1,できる日本語 初中級 本冊
履歴書,りれきしょ,"resume, CV",,,,,1,1,1,できる日本語 初中級 本冊
半年,はんとし,half-year,,,,,1,1,1,できる日本語 初中級 本冊
（お）刺身,さしみ,"sashimi (thinly sliced, raw seafood)",,,,,1,1,1,できる日本語 初中級 本冊
日常会話,にちじょうかいわ,daily conversation,,,,,1,1,1,できる日本語 初中級 本冊
問い合わせ,といあわせ,inquiry,,,,,1,1,1,できる日本語 初中級 本冊
希望・する,きぼう・する,desire,,,,,1,1,1,できる日本語 初中級 本冊
募集・する,ぼしゅう・する,"recruit, put out a call for",,,,,1,1,1,できる日本語 初中級 本冊
思い出す,おもいだす,"remember, recall",,,,,1,1,1,できる日本語 初中級 本冊
入力・する,にゅうりょく・する,input,,,,,1,1,1,できる日本語 初中級 本冊
それでは,,"well, then (at beginning of a sentence)",,,,,1,1,1,できる日本語 初中級 本冊
では,,"in that case, if so",,,,,1,1,1,できる日本語 初中級 本冊
いらっしゃいます,,"go, come (respectful language referring to someone else)",,,,,1,1,1,できる日本語 初中級 本冊
申します,もうします,"call oneself (humble language), my name is",,,,,1,1,1,できる日本語 初中級 本冊
参ります,まいります,"go, come (humble language referring to oneself)",,,,,1,1,1,できる日本語 初中級 本冊
少々お待ちください,しょうしょうおまちください,Please wait a moment,,,,,1,1,1,できる日本語 初中級 本冊
お先に失礼します,おさきにしつれいします,Excuse me for going ahead of you,,,,,1,1,1,できる日本語 初中級 本冊
こちらへどうぞ,,Please come this way,,,,,1,1,1,できる日本語 初中級 本冊
失礼します,しつれいします,Excuse me,,,,,1,1,1,できる日本語 初中級 本冊
よろしくお願いいたします,よろしくおねがいいたします,I am looking forward to knowing you,,,,,1,1,1,できる日本語 初中級 本冊
楽器,がっき,musical instrument,,,,,1,2,1,できる日本語 初中級 本冊
建物,たてもの,building,,,,,1,2,1,できる日本語 初中級 本冊
歴史,れきし,history,,,,,1,2,1,できる日本語 初中級 本冊
意見,いけん,opinion,,,,,1,2,1,できる日本語 初中級 本冊
お年寄り,おとしより,elderly person,,,,,1,2,1,できる日本語 初中級 本冊
言葉,ことば,"words, language",,,,,1,2,1,できる日本語 初中級 本冊
自分,じぶん,oneself,,,,,1,2,1,できる日本語 初中級 本冊
話,はなし,conversation,,,,,1,2,1,できる日本語 初中級 本冊
野外ライブ,やがいライブ,live outdoor concert,,,,,1,2,1,できる日本語 初中級 本冊
～個,こ,things (counter word),,,,,1,2,1,できる日本語 初中級 本冊
聞き取る,ききとる,hear and understand,,,,,1,2,1,できる日本語 初中級 本冊
覚える,おぼえる,"remember, memorize",,,,,1,2,1,できる日本語 初中級 本冊
応援・する,おうえん・する,"encourage, cheer on",,,,,1,2,1,できる日本語 初中級 本冊
サイクリング・する,,do cycling,,,,,1,2,1,できる日本語 初中級 本冊
遅い,おそい,slow,,,,,1,2,1,できる日本語 初中級 本冊
速い,はやい,fast,,,,,1,2,1,できる日本語 初中級 本冊
つまらない,,boring,,,,,1,2,1,できる日本語 初中級 本冊
得意（な）,とくい,good at (something),,,,,1,2,1,できる日本語 初中級 本冊
苦手（な）,にがて,bad at (something),,,,,1,2,1,できる日本語 初中級 本冊
無理（な）,むり,unable to do (something),,,,,1,2,1,できる日本語 初中級 本冊
朝早く,あさはやく,early morning,,,,,1,2,1,できる日本語 初中級 本冊
字幕,じまく,subtitles,,,,,1,もう一度聞こう,2,できる日本語 初中級 本冊
大好き（な）,だいすき,favorite,,,,,1,もう一度聞こう,2,できる日本語 初中級 本冊
まず,,at first (at beginning of a sentence),,,,,1,もう一度聞こう,2,できる日本語 初中級 本冊
恥ずかしい,はずかしい,embarrassing,,,,,2,話読聞書,3,できる日本語 初中級 本冊
次,つぎ,next,,,,,2,話読聞書,3,できる日本語 初中級 本冊
うれしい,,"happy, glad",,,,,2,話読聞書,3,できる日本語 初中級 本冊
画面,がめん,screen,,,,,2,1,3,できる日本語 初中級 本冊
腕時計,うでどけい,wristwatch,,,,,2,1,3,できる日本語 初中級 本冊
セーター,,sweater,,,,,2,1,3,できる日本語 初中級 本冊
スーツケース,,suitcase,,,,,2,1,3,できる日本語 初中級 本冊
コート,,coat,,,,,2,1,3,できる日本語 初中級 本冊
棚,たな,shelf,,,,,2,1,3,できる日本語 初中級 本冊
指輪,ゆびわ,ring,,,,,2,1,3,できる日本語 初中級 本冊
サイズ,,size,,,,,2,1,3,できる日本語 初中級 本冊
数字,すうじ,number,,,,,2,1,3,できる日本語 初中級 本冊
ヒール,,(high) heels,,,,,2,1,3,できる日本語 初中級 本冊
ボタン,,button,,,,,2,1,3,できる日本語 初中級 本冊
ジーンズ,,jeans,,,,,2,1,3,できる日本語 初中級 本冊
売り場,うりば,sales section,,,,,2,1,3,できる日本語 初中級 本冊
動く,うごく,move,,,,,2,1,3,できる日本語 初中級 本冊
説明・する,せつめい・する,explain,,,,,2,1,3,できる日本語 初中級 本冊
配達・する,はいたつ・する,deliver,,,,,2,1,3,できる日本語 初中級 本冊
重い,おもい,heavy (weight),,,,,2,1,3,できる日本語 初中級 本冊
軽い,かるい,light (weight),,,,,2,1,3,できる日本語 初中級 本冊
ちょうどいい,,perfect,,,,,2,1,3,できる日本語 初中級 本冊
丈夫（な）,じょうぶ,sturdy,,,,,2,1,3,できる日本語 初中級 本冊
もっと,,more,,もっと大きいかばんがほしいです。,I want a larger bag,,2,1,3,できる日本語 初中級 本冊
ちょっと,,a little,,,,,2,1,3,できる日本語 初中級 本冊
いかがですか,,How is it?,,,,,2,1,3,できる日本語 初中級 本冊
かしこまりました,,I understand (humble language),,,,,2,1,3,できる日本語 初中級 本冊
壁,かべ,wall,,,,,2,2,3,できる日本語 初中級 本冊
カレンダー,,calendar,,,,,2,2,3,できる日本語 初中級 本冊
世界地図,せかいちず,world map,,,,,2,2,3,できる日本語 初中級 本冊
最新,さいしん,"latest, newest",,,,,2,2,3,できる日本語 初中級 本冊
飲み放題,のみほうだい,unlimited drinks,,,,,2,2,3,できる日本語 初中級 本冊
期間限定,きかんげんてい,limited period,,,,,2,2,3,できる日本語 初中級 本冊
セット,,set,,,,,2,2,3,できる日本語 初中級 本冊
フロアガイド,,floor guide,,,,,2,2,3,できる日本語 初中級 本冊
意味,いみ,meaning,,,,,2,2,3,できる日本語 初中級 本冊
営業中,えいぎょうちゅう,open (for business),,,,,2,2,3,できる日本語 初中級 本冊
大盛り,おおもり,extra-large helping,,,,,2,2,3,できる日本語 初中級 本冊
おかわり,,"refill, second helping",,,,,2,2,3,できる日本語 初中級 本冊
送料,そうりょう,shipping charges,,,,,2,2,3,できる日本語 初中級 本冊
タイムサービス,,limited time offer,,,,,2,2,3,できる日本語 初中級 本冊
定休日,ていきゅうび,regular holiday,,,,,2,2,3,できる日本語 初中級 本冊
本日,ほんじつ,today,,,,,2,2,3,できる日本語 初中級 本冊
半額,はんがく,half-price,,,,,2,2,3,できる日本語 初中級 本冊
レディースデー,,Lady's Day,,,,,2,2,3,できる日本語 初中級 本冊
量,りょう,amount,,,,,2,2,3,できる日本語 初中級 本冊
親子丼,おやこどん,oyako-don (bowl of rice topped with boiled chicken and eggs),,,,,2,2,3,できる日本語 初中級 本冊
牛丼,ぎゅうどん,gyu-don (bowl of rice topped with seasoned beef),,,,,2,2,3,できる日本語 初中級 本冊
サンドイッチ,,sandwich,,,,,2,2,3,できる日本語 初中級 本冊
ソース,,sauce,,とんかつにソースをかける。,put sauce on pork cutlet,,2,2,3,できる日本語 初中級 本冊
～券,けん,ticket,,割引券,"discount ticket, coupon",,2,2,3,できる日本語 初中級 本冊
かける,,"hang, attach",,カレンダーをかける。,hang up a calendar,,2,2,3,できる日本語 初中級 本冊
貼る,はる,affix,,,,,2,2,3,できる日本語 初中級 本冊
かける,,put on (something),,ソースをかける。,put on sauce,,2,2,3,できる日本語 初中級 本冊
注文・する,ちゅうもん・する,order,,,,,2,2,3,できる日本語 初中級 本冊
割引・する,わりびき・する,discount,,,,,2,2,3,できる日本語 初中級 本冊
両替・する,りょうがえ・する,exchange for small money,,,,,2,2,4,できる日本語 初中級 本冊
得（な）,とく,good at (something),,,,,2,2,4,できる日本語 初中級 本冊
特別（な）,とくべつ,special,,,,,2,2,4,できる日本語 初中級 本冊
どういう,,what kind of,,,,,2,2,4,できる日本語 初中級 本冊
もう,,another,,もう一杯,another drink,,2,2,4,できる日本語 初中級 本冊
大変,たいへん,very,,,,,2,もう一度聞こう,4,できる日本語 初中級 本冊
